timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730424294348,2953,HTTP Request,429,Too many requests,users 1-2,text,false,Test failed: code expected to match /200/,2784,212,5,5,https://en.wikipedia.org/wiki/Special:UserLogin?centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,2943,0,2306
1730424295345,2126,HTTP Request,200,OK,users 1-3,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),34855,212,6,6,https://en.wikipedia.org/wiki/Special:UserLogin?centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,1973,0,1309
1730424296338,1468,HTTP Request,429,Too many requests,users 1-4,text,false,Test failed: code expected to match /200/,2653,243,6,6,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=019cf12c63982996958830f1cd1744c4&wikiid=enwiki,1468,0,1334
1730424293464,4377,HTTP Request,200,OK,users 1-1,text,false,"The operation lasted too long: It took 4,377 milliseconds, but should not have lasted longer than 3,800 milliseconds.",34855,212,6,6,https://en.wikipedia.org/wiki/Special:UserLogin?centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,4218,0,3190
1730424297337,1171,HTTP Request,429,Too many requests,users 1-5,text,false,Test failed: code expected to match /200/,2653,243,7,7,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=43f436ce802d8aebb76aaaeb1f4a8ab6&wikiid=enwiki,1171,0,1093
1730424298444,560,HTTP Request,429,Too many requests,users 1-2,text,false,Test failed: code expected to match /200/,2551,316,7,7,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=af97e58d21dce8700100ee7c8e49c8e5&wikiid=enwiki,560,0,0
1730424298820,538,HTTP Request,429,Too many requests,users 1-4,text,false,Test failed: code expected to match /200/,2653,243,8,8,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=e251db867cace4fda01dec6c61b8ba37&wikiid=enwiki,538,0,0
1730424298336,1180,HTTP Request,429,Too many requests,users 1-6,text,false,Test failed: code expected to match /200/,2653,243,8,8,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=e380622cce1a386ef2f634376e98a027&wikiid=enwiki,1180,0,1107
1730424298560,1202,HTTP Request,200,OK,users 1-3,text,false,Tidy Parser errors: 13 (allowed 0) Tidy Parser warnings: 131 (allowed 1),34360,391,8,8,https://en.wikipedia.org/wiki/Special:UserLogin?centralAuthAutologinTried=1&centralAuthError=Not+centrally+logged+in,1161,0,0
1730424299516,619,HTTP Request,429,Too many requests,users 1-5,text,false,Test failed: code expected to match /200/,2653,243,8,8,https://login.wikimedia.org/wiki/Special:CentralAutoLogin/checkLoggedIn?type=redirect&returnUrlToken=b303d9b186e257190e3ebaaae3264a1d&wikiid=enwiki,619,0,0
